STATE,zipcode,A18425
AL,35094,108.0
AL,35094,211.0
AL,35094,223.0
AL,35094,932.0
AL,35094,1480.0
AL,35096,0.0
AL,35096,64.0
AL,35096,129.0
AL,35096,138.0
AL,35096,347.0
AL,35096,411.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35111,0.0
AL,35111,144.0
AL,35111,435.0
AL,35111,531.0
AL,35111,1762.0
AL,35111,1076.0
AL,35114,0.0
AL,35114,58.0
AL,35114,140.0
AL,35114,195.0
AL,35114,964.0
AL,35114,558.0
AL,35115,0.0
AL,35115,50.0
AL,35115,124.0
AL,35115,142.0
AL,35115,399.0
AL,35115,460.0
AL,35116,0.0
AL,35116,60.0
AL,35116,0.0
AL,35116,73.0
AL,35116,365.0
AL,35116,445.0
AL,35117,0.0
AL,35117,0.0
AL,35117,128.0
AL,35117,139.0
AL,35117,652.0
AL,35117,519.0
AL,35118,0.0
AL,35118,66.0
AL,35118,0.0
AL,35118,0.0
AL,35118,139.0
AL,35118,0.0
AL,35120,0.0
AL,35120,120.0
AL,35120,227.0
AL,35120,209.0
AL,35120,935.0
AL,35120,596.0
AL,35121,0.0
AL,35121,0.0
AL,35121,136.0
AL,35121,113.0
AL,35121,557.0
AL,35121,1085.0
AL,35124,30.0
AL,35124,213.0
AL,35124,426.0
AL,35124,725.0
AL,35124,3265.0
AL,35124,6958.0
AL,35125,0.0
AL,35125,44.0
AL,35125,62.0
AL,35125,108.0
AL,35125,271.0
AL,35125,594.0
AL,35126,33.0
AL,35126,226.0
AL,35126,522.0
AL,35126,518.0
AL,35126,1468.0
AL,35126,588.0
AL,35127,0.0
AL,35127,192.0
AL,35127,419.0
AL,35127,372.0
AL,35127,969.0
AL,35127,281.0
AL,35128,0.0
AL,35128,61.0
AL,35128,102.0
AL,35128,132.0
AL,35128,679.0
AL,35128,1261.0
AL,35130,0.0
AL,35130,0.0
AL,35130,106.0
AL,35130,0.0
AL,35130,0.0
AL,35130,0.0
AL,35131,0.0
AL,35131,0.0
AL,35131,99.0
AL,35131,0.0
AL,35131,0.0
AL,35131,0.0
AL,35133,0.0
AL,35133,0.0
AL,35133,81.0
AL,35133,0.0
AL,35133,178.0
AL,35133,0.0
AL,35135,0.0
AL,35135,56.0
AL,35135,0.0
AL,35135,0.0
AL,35135,135.0
AL,35135,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35143,0.0
AL,35143,0.0
AL,35143,86.0
AL,35143,0.0
AL,35143,323.0
AL,35143,0.0
AL,35146,0.0
AL,35146,80.0
AL,35146,187.0
AL,35146,228.0
AL,35146,1076.0
AL,35146,1141.0
AL,35147,0.0
AL,35147,0.0
AL,35147,122.0
AL,35147,163.0
AL,35147,562.0
AL,35147,981.0
AL,35148,0.0
AL,35148,0.0
AL,35148,0.0
AL,35148,148.0
AL,35148,0.0
AL,35148,0.0
AL,35150,0.0
AL,35150,101.0
AL,35150,160.0
AL,35150,144.0
AL,35150,444.0
AL,35150,513.0
AL,35151,29.0
AL,35151,0.0
AL,35151,98.0
AL,35151,0.0
AL,35151,433.0
AL,35151,0.0
AL,35160,25.0
AL,35160,186.0
AL,35160,334.0
AL,35160,217.0
AL,35160,504.0
AL,35160,758.0
AL,35171,0.0
AL,35171,0.0
AL,35171,0.0
AL,35171,0.0
AL,35171,394.0
AL,35171,0.0
AL,35172,0.0
AL,35172,0.0
AL,35172,97.0
AL,35172,0.0
AL,35172,0.0
AL,35172,0.0
AL,35173,36.0
AL,35173,204.0
AL,35173,570.0
AL,35173,803.0
AL,35173,5657.0
AL,35173,9651.0
AL,35175,0.0
AL,35175,0.0
AL,35175,71.0
AL,35175,0.0
AL,35175,235.0
AL,35175,353.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35178,0.0
AL,35178,0.0
AL,35178,74.0
AL,35178,0.0
AL,35178,184.0
AL,35178,0.0
AL,35179,0.0
AL,35179,62.0
AL,35179,0.0
AL,35179,75.0
AL,35179,361.0
AL,35179,717.0
AL,35180,0.0
AL,35180,45.0
AL,35180,128.0
AL,35180,155.0
AL,35180,670.0
AL,35180,605.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35184,0.0
AL,35184,0.0
AL,35184,0.0
AL,35184,0.0
AL,35184,304.0
AL,35184,0.0
AL,35186,0.0
AL,35186,0.0
AL,35186,81.0
AL,35186,65.0
AL,35186,533.0
AL,35186,784.0
