STATE,zipcode,A18425
AL,0,2661.0
AL,0,22962.0
AL,0,54996.0
AL,0,56947.0
AL,0,292110.0
AL,0,784550.0
AL,35004,0.0
AL,35004,79.0
AL,35004,218.0
AL,35004,254.0
AL,35004,737.0
AL,35004,495.0
AL,35005,0.0
AL,35005,89.0
AL,35005,136.0
AL,35005,139.0
AL,35005,277.0
AL,35005,0.0
AL,35006,0.0
AL,35006,50.0
AL,35006,0.0
AL,35006,0.0
AL,35006,146.0
AL,35006,0.0
AL,35007,0.0
AL,35007,194.0
AL,35007,419.0
AL,35007,546.0
AL,35007,2281.0
AL,35007,1994.0
AL,35010,0.0
AL,35010,107.0
AL,35010,90.0
AL,35010,114.0
AL,35010,574.0
AL,35010,3065.0
AL,35014,0.0
AL,35014,0.0
AL,35014,116.0
AL,35014,0.0
AL,35014,465.0
AL,35014,0.0
AL,35016,0.0
AL,35016,0.0
AL,35016,81.0
AL,35016,128.0
AL,35016,703.0
AL,35016,1181.0
AL,35019,0.0
AL,35019,0.0
AL,35019,0.0
AL,35019,0.0
AL,35019,0.0
AL,35019,0.0
AL,35020,0.0
AL,35020,150.0
AL,35020,215.0
AL,35020,129.0
AL,35020,330.0
AL,35020,0.0
AL,35022,25.0
AL,35022,331.0
AL,35022,904.0
AL,35022,985.0
AL,35022,2795.0
AL,35022,1788.0
AL,35023,0.0
AL,35023,163.0
AL,35023,317.0
AL,35023,299.0
AL,35023,937.0
AL,35023,726.0
AL,35031,0.0
AL,35031,0.0
AL,35031,0.0
AL,35031,0.0
AL,35031,353.0
AL,35031,0.0
AL,35033,0.0
AL,35033,0.0
AL,35033,0.0
AL,35033,0.0
AL,35033,233.0
AL,35033,277.0
AL,35034,0.0
AL,35034,64.0
AL,35034,0.0
AL,35034,137.0
AL,35034,0.0
AL,35034,0.0
AL,35035,0.0
AL,35035,0.0
AL,35035,902.0
AL,35035,0.0
AL,35035,0.0
AL,35035,0.0
AL,35040,0.0
AL,35040,180.0
AL,35040,374.0
AL,35040,303.0
AL,35040,888.0
AL,35040,1229.0
AL,35042,0.0
AL,35042,0.0
AL,35042,88.0
AL,35042,0.0
AL,35042,376.0
AL,35042,0.0
AL,35043,0.0
AL,35043,99.0
AL,35043,223.0
AL,35043,440.0
AL,35043,2319.0
AL,35043,3156.0
AL,35044,0.0
AL,35044,36.0
AL,35044,90.0
AL,35044,68.0
AL,35044,206.0
AL,35044,212.0
AL,35045,0.0
AL,35045,42.0
AL,35045,78.0
AL,35045,124.0
AL,35045,501.0
AL,35045,849.0
AL,35046,0.0
AL,35046,49.0
AL,35046,0.0
AL,35046,0.0
AL,35046,250.0
AL,35046,910.0
AL,35049,0.0
AL,35049,0.0
AL,35049,76.0
AL,35049,0.0
AL,35049,249.0
AL,35049,0.0
AL,35051,0.0
AL,35051,0.0
AL,35051,83.0
AL,35051,104.0
AL,35051,569.0
AL,35051,1501.0
AL,35053,0.0
AL,35053,0.0
AL,35053,0.0
AL,35053,0.0
AL,35053,279.0
AL,35053,640.0
AL,35054,0.0
AL,35054,67.0
AL,35054,0.0
AL,35054,80.0
AL,35054,305.0
AL,35054,846.0
AL,35055,0.0
AL,35055,82.0
AL,35055,102.0
AL,35055,155.0
AL,35055,806.0
AL,35055,1767.0
AL,35057,45.0
AL,35057,0.0
AL,35057,118.0
AL,35057,99.0
AL,35057,626.0
AL,35057,1267.0
AL,35058,0.0
AL,35058,0.0
AL,35058,102.0
AL,35058,0.0
AL,35058,353.0
AL,35058,898.0
AL,35061,0.0
AL,35061,85.0
AL,35061,0.0
AL,35061,0.0
AL,35061,0.0
AL,35061,0.0
AL,35062,0.0
AL,35062,58.0
AL,35062,0.0
AL,35062,82.0
AL,35062,508.0
AL,35062,439.0
AL,35063,0.0
AL,35063,103.0
AL,35063,0.0
AL,35063,0.0
AL,35063,0.0
AL,35063,0.0
AL,35064,0.0
AL,35064,99.0
AL,35064,173.0
AL,35064,151.0
AL,35064,355.0
AL,35064,0.0
AL,35068,0.0
AL,35068,122.0
AL,35068,269.0
AL,35068,266.0
AL,35068,789.0
AL,35068,0.0
AL,35071,0.0
AL,35071,121.0
AL,35071,330.0
AL,35071,388.0
AL,35071,1939.0
AL,35071,2057.0
AL,35072,0.0
AL,35072,0.0
AL,35072,0.0
AL,35072,214.0
AL,35072,0.0
AL,35072,0.0
AL,35073,0.0
AL,35073,0.0
AL,35073,0.0
AL,35073,0.0
AL,35073,0.0
AL,35073,0.0
AL,35077,0.0
AL,35077,0.0
AL,35077,147.0
AL,35077,0.0
AL,35077,293.0
AL,35077,423.0
AL,35078,0.0
AL,35078,0.0
AL,35078,0.0
AL,35078,0.0
AL,35078,406.0
AL,35078,0.0
AL,35079,0.0
AL,35079,0.0
AL,35079,138.0
AL,35079,0.0
AL,35079,381.0
AL,35079,323.0
AL,35080,0.0
AL,35080,124.0
AL,35080,388.0
AL,35080,379.0
AL,35080,3081.0
AL,35080,2749.0
AL,35083,0.0
AL,35083,0.0
AL,35083,0.0
AL,35083,0.0
AL,35083,232.0
AL,35083,0.0
AL,35085,0.0
AL,35085,0.0
AL,35085,118.0
AL,35085,0.0
AL,35085,225.0
AL,35085,200.0
AL,35087,0.0
AL,35087,0.0
AL,35087,0.0
AL,35087,0.0
AL,35087,0.0
AL,35087,0.0
AL,35089,0.0
AL,35089,0.0
AL,35089,0.0
AL,35089,0.0
AL,35089,0.0
AL,35089,0.0
AL,35091,0.0
AL,35091,0.0
AL,35091,153.0
AL,35091,0.0
AL,35091,423.0
AL,35091,211.0
AL,35094,0.0
AL,35094,108.0
AL,35094,201.0
AL,35094,285.0
AL,35094,916.0
AL,35094,1831.0
AL,35096,0.0
AL,35096,56.0
AL,35096,126.0
AL,35096,119.0
AL,35096,425.0
AL,35096,334.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35097,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35098,0.0
AL,35111,0.0
AL,35111,143.0
AL,35111,493.0
AL,35111,573.0
AL,35111,1696.0
AL,35111,1039.0
AL,35114,0.0
AL,35114,42.0
AL,35114,174.0
AL,35114,190.0
AL,35114,856.0
AL,35114,614.0
AL,35115,0.0
AL,35115,43.0
AL,35115,111.0
AL,35115,95.0
AL,35115,387.0
AL,35115,561.0
AL,35116,0.0
AL,35116,0.0
AL,35116,129.0
AL,35116,0.0
AL,35116,375.0
AL,35116,430.0
AL,35117,0.0
AL,35117,0.0
AL,35117,152.0
AL,35117,160.0
AL,35117,667.0
AL,35117,503.0
AL,35118,0.0
AL,35118,47.0
AL,35118,0.0
AL,35118,126.0
AL,35118,0.0
AL,35118,0.0
AL,35120,0.0
AL,35120,103.0
AL,35120,235.0
AL,35120,269.0
AL,35120,901.0
AL,35120,785.0
AL,35121,34.0
AL,35121,0.0
AL,35121,87.0
AL,35121,97.0
AL,35121,550.0
AL,35121,1372.0
AL,35124,0.0
AL,35124,167.0
AL,35124,556.0
AL,35124,666.0
AL,35124,3293.0
AL,35124,8594.0
AL,35125,0.0
AL,35125,0.0
AL,35125,90.0
AL,35125,102.0
AL,35125,254.0
AL,35125,434.0
AL,35126,26.0
AL,35126,188.0
AL,35126,562.0
AL,35126,556.0
AL,35126,1319.0
AL,35126,660.0
AL,35127,0.0
AL,35127,152.0
AL,35127,440.0
AL,35127,413.0
AL,35127,758.0
AL,35127,629.0
AL,35128,0.0
AL,35128,53.0
AL,35128,100.0
AL,35128,111.0
AL,35128,693.0
AL,35128,1573.0
AL,35130,0.0
AL,35130,0.0
AL,35130,99.0
AL,35130,0.0
AL,35130,0.0
AL,35130,0.0
AL,35131,0.0
AL,35131,0.0
AL,35131,105.0
AL,35131,0.0
AL,35131,0.0
AL,35131,0.0
AL,35133,0.0
AL,35133,0.0
AL,35133,79.0
AL,35133,0.0
AL,35133,260.0
AL,35133,0.0
AL,35135,0.0
AL,35135,0.0
AL,35135,68.0
AL,35135,0.0
AL,35135,178.0
AL,35135,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35136,0.0
AL,35143,0.0
AL,35143,0.0
AL,35143,73.0
AL,35143,0.0
AL,35143,149.0
AL,35143,371.0
AL,35146,0.0
AL,35146,52.0
AL,35146,172.0
AL,35146,220.0
AL,35146,1000.0
AL,35146,1375.0
AL,35147,0.0
AL,35147,0.0
AL,35147,141.0
AL,35147,132.0
AL,35147,620.0
AL,35147,1217.0
AL,35148,0.0
AL,35148,0.0
AL,35148,0.0
AL,35148,0.0
AL,35148,199.0
AL,35148,0.0
AL,35150,0.0
AL,35150,81.0
AL,35150,119.0
AL,35150,103.0
AL,35150,409.0
AL,35150,777.0
AL,35151,0.0
AL,35151,0.0
AL,35151,95.0
AL,35151,0.0
AL,35151,558.0
AL,35151,0.0
AL,35160,0.0
AL,35160,137.0
AL,35160,282.0
AL,35160,196.0
AL,35160,396.0
AL,35160,648.0
AL,35171,0.0
AL,35171,0.0
AL,35171,0.0
AL,35171,0.0
AL,35171,349.0
AL,35171,0.0
AL,35172,0.0
AL,35172,0.0
AL,35172,130.0
AL,35172,0.0
AL,35172,0.0
AL,35172,0.0
AL,35173,33.0
AL,35173,197.0
AL,35173,606.0
AL,35173,889.0
AL,35173,5996.0
AL,35173,9680.0
AL,35175,58.0
AL,35175,0.0
AL,35175,0.0
AL,35175,0.0
AL,35175,240.0
AL,35175,438.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35176,0.0
AL,35178,0.0
AL,35178,77.0
AL,35178,0.0
AL,35178,0.0
AL,35178,350.0
AL,35178,0.0
AL,35179,0.0
AL,35179,54.0
AL,35179,0.0
AL,35179,83.0
AL,35179,312.0
AL,35179,618.0
AL,35180,0.0
AL,35180,45.0
AL,35180,135.0
AL,35180,136.0
AL,35180,651.0
AL,35180,851.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35183,0.0
AL,35184,0.0
AL,35184,0.0
AL,35184,0.0
AL,35184,170.0
AL,35184,0.0
AL,35184,0.0
AL,35186,0.0
AL,35186,66.0
AL,35186,0.0
AL,35186,84.0
AL,35186,672.0
AL,35186,866.0
AL,35188,0.0
AL,35188,77.0
AL,35188,0.0
AL,35188,0.0
AL,35188,189.0
AL,35188,0.0
AL,35203,0.0
AL,35203,0.0
AL,35203,106.0
AL,35203,103.0
AL,35203,325.0
AL,35203,5191.0
AL,35204,0.0
AL,35204,83.0
AL,35204,0.0
AL,35204,121.0
AL,35204,0.0
AL,35204,0.0
AL,35205,0.0
AL,35205,96.0
AL,35205,226.0
AL,35205,302.0
AL,35205,1064.0
AL,35205,4876.0
AL,35206,0.0
AL,35206,127.0
AL,35206,220.0
AL,35206,180.0
AL,35206,333.0
AL,35206,0.0
AL,35207,0.0
AL,35207,81.0
AL,35207,0.0
AL,35207,88.0
AL,35207,0.0
AL,35207,0.0
AL,35208,0.0
AL,35208,87.0
AL,35208,141.0
AL,35208,66.0
AL,35208,139.0
AL,35208,0.0
AL,35209,31.0
AL,35209,183.0
AL,35209,447.0
AL,35209,672.0
AL,35209,4300.0
AL,35209,26184.0
AL,35210,0.0
AL,35210,183.0
AL,35210,360.0
AL,35210,389.0
AL,35210,1168.0
AL,35210,3044.0
AL,35211,23.0
AL,35211,159.0
AL,35211,267.0
AL,35211,273.0
AL,35211,476.0
AL,35211,352.0
AL,35212,0.0
AL,35212,63.0
AL,35212,135.0
AL,35212,196.0
AL,35212,562.0
AL,35212,427.0
AL,35213,56.0
AL,35213,132.0
AL,35213,393.0
AL,35213,428.0
AL,35213,2938.0
AL,35213,46662.0
AL,35214,22.0
AL,35214,146.0
AL,35214,401.0
AL,35214,313.0
AL,35214,693.0
AL,35214,0.0
AL,35215,61.0
AL,35215,555.0
AL,35215,989.0
AL,35215,700.0
AL,35215,1105.0
AL,35215,333.0
AL,35216,54.0
AL,35216,187.0
AL,35216,591.0
AL,35216,786.0
AL,35216,5001.0
AL,35216,20371.0
AL,35217,0.0
AL,35217,58.0
AL,35217,120.0
AL,35217,99.0
AL,35217,268.0
AL,35217,0.0
AL,35218,0.0
AL,35218,0.0
AL,35218,160.0
AL,35218,0.0
AL,35218,0.0
AL,35218,0.0
AL,35221,0.0
AL,35221,0.0
AL,35221,114.0
AL,35221,0.0
AL,35221,0.0
AL,35221,0.0
AL,35222,0.0
AL,35222,44.0
AL,35222,239.0
AL,35222,315.0
AL,35222,1232.0
AL,35222,4761.0
AL,35223,37.0
AL,35223,124.0
AL,35223,244.0
AL,35223,292.0
AL,35223,2750.0
AL,35223,51970.0
AL,35224,0.0
AL,35224,0.0
AL,35224,143.0
AL,35224,0.0
AL,35224,0.0
AL,35224,0.0
AL,35226,63.0
AL,35226,270.0
AL,35226,755.0
AL,35226,1145.0
AL,35226,7355.0
AL,35226,19957.0
AL,35228,0.0
AL,35228,124.0
AL,35228,136.0
AL,35228,153.0
AL,35228,0.0
AL,35228,0.0
AL,35233,0.0
AL,35233,59.0
AL,35233,0.0
AL,35233,0.0
AL,35233,176.0
AL,35233,844.0
AL,35234,0.0
AL,35234,0.0
AL,35234,149.0
AL,35234,0.0
AL,35234,0.0
AL,35234,0.0
AL,35235,0.0
AL,35235,264.0
AL,35235,557.0
AL,35235,369.0
AL,35235,845.0
AL,35235,527.0
AL,35242,135.0
AL,35242,407.0
AL,35242,996.0
AL,35242,1598.0
AL,35242,11187.0
AL,35242,67404.0
AL,35243,35.0
AL,35243,158.0
AL,35243,487.0
AL,35243,629.0
AL,35243,4186.0
AL,35243,28558.0
AL,35244,56.0
AL,35244,259.0
AL,35244,708.0
AL,35244,1010.0
AL,35244,7121.0
AL,35244,18611.0
AL,35401,0.0
AL,35401,124.0
AL,35401,157.0
AL,35401,117.0
AL,35401,448.0
AL,35401,1602.0
AL,35404,0.0
AL,35404,115.0
AL,35404,154.0
AL,35404,156.0
AL,35404,471.0
AL,35404,1293.0
AL,35405,47.0
AL,35405,345.0
AL,35405,735.0
AL,35405,753.0
AL,35405,1997.0
AL,35405,2296.0
AL,35406,0.0
AL,35406,118.0
AL,35406,195.0
AL,35406,448.0
AL,35406,2841.0
